가싶남,0.43,0.16
간장녀,-0.72,0.14
간지남,0.41,0.23
갈매기아빠,-0.53,-0.3
감성팔이,-0.69,0.31
감솨,0.56,0.12
갑툭튀,0,0.74
갓띵곡,0.44,0.31
갓물주,0.48,0.44
강려크하다,0.73,0.46
강철멘탈,0.54,0.49
강추,0.39,0.34
강퇴,-0.81,0.28
개꿀잼,0.53,0.65
개노답,-0.86,0.39
개노잼,-0.74,0.26
개드립,-0.56,0.17
개망,-0.48,-0.18
개뿔,-0.69,0.37
개소름,-0.08,0.5
개이득,0.69,0.39
개저씨,-0.78,0.18
개쩐다,0.36,0.56
겐트위한,-0.91,0.31
겨터파크,-0.73,0.06
고나리질,-0.75,0.31
고답이,-0.39,-0.4
과즙미,0.55,0.31
관심사병,-0.78,0.21
관종병,-0.85,0.35
광광우럭따,-0.43,-0.18
광탈,-0.63,-0.28
구멍병사,-0.78,0.13
귀르가즘,0.71,-0.24
귀염사,0.69,0.65
귀요미,0.6,0.3
귀척,-0.53,0.09
귀테러,-0.81,0.33
그린라이트,0.67,0.4
극보수,-0.87,0.11
극혐,-0.88,0.15
극호감,0.57,0.2
근자감,-0.55,0.08
급당황,-0.05,0.61
급식충,-0.79,0.18
기레기,-0.76,0.33
길막,-0.64,0.29
까비,-0.29,-0.08
깜놀,-0.03,0.66
꽁냥거리다,0.55,0.33
꿀보직,0.7,0.1
꿀빨다,0.67,0.5
꿀잠,0.7,-0.04
꿀재미,0.65,0.38
낄끼빠빠,-0.71,0.2
나레기,-0.66,-0.43
남혐,-0.89,0.08
내로남불,-0.66,0.26
넌씨눈,-0.76,0.26
노관심,-0.19,-0.14
노답,-0.54,0.13
노오력,-0.61,0.25
노잼,-0.3,-0.52
눈갱,-0.68,0.23
답정너,-0.54,0.18
덕통사고,0.7,0.24
돋네,-0.13,0.4
돌직구,-0.31,0.48
된장남,-0.78,0.21
두둠칫,0.46,0.31
득템,0.6,0.48
딥빡,-0.84,0.49
땡큐,0.45,0.06
띵곡,0.7,0.02
띵언,0.36,0.03
렛츠기릿,0.44,0.5
마상,-0.44,-0.25
맴찢,-0.6,-0.05
먹자,-0.81,0.3
먹튀,-0.81,0.35
멘붕,-0.54,-0.21
명존쎄,-0.65,0.33
무뇌충,-0.83,0.2
발연기,-0.51,-0.01
발컨,-0.54,0.2
병맛,-0.2,0.37
불금,0.63,0.54
불토,0.6,0.45
비호감,-0.71,0.17
설명충,-0.63,0.14
소오름,-0.38,0.43
숨멎,0.56,0.67
스웩,0.5,0.34
시망,-0.4,-0.2
심멎,-0.68,0.6
심쿵사,0.73,0.43
심폭,0.8,0.4
씹꿀잼,0.77,0.46
씹노답,-0.88,0.25
씹노잼,-0.45,-0.43
씹덕사,0.8,0.5
씹이득,0.67,0.41
안궁,-0.44,0.12
안물,-0.51,0.22
안습,-0.46,-0.21
알러뷰,0.64,0.34
약혐,-0.71,0.1
어쩔,-0.66,0.26
어쩜,-0.44,-0.09
에바참치,-0.41,0.05
여혐러,-0.91,0.09
오지다,0.28,0.57
웃프다,-0.41,-0.05
위꼴,-0.05,0.15
자살각,-0.52,-0.15
조아해,0.58,0.42
조타,0.61,0.16
존맛,0.76,-0.1
존망,-0.45,-0.3
존예,0.47,0.24
존잘,0.46,0.18
졸귀,0.68,0.21
좋드,0.61,0.12
진지충,-0.71,0.06
쩐다,0.34,0.47
초난감,-0.46,0.15
초대박,0.35,0.57
취저,0.79,0.35
캐멋지다,0.39,0.53
커엽다,0.65,0.24
폭풍눈물,-0.65,-0.15
피꺼솟,-0.81,0.47
핵귀염,0.78,0.31
핵꿀잼,0.7,0.44
핵노답,-0.85,0.16
핵노잼,-0.46,-0.53
핵사이다,0.54,0.58
핵이득,0.65,0.45
핵잼,0.7,0.44
햄볶,0.72,0.2
현실소름,-0.2,0.61
현웃,0.54,0.56
홧팅,0.08,0.05
