Noun,Verb,Adjective,Exclamation
노신,닮은,안전하다,어휴
티,날뛰고,미친,어휴
네네,말아먹네,있으면,아
찜빵,잡아서,아닐까,아
똥,치르,있는,아
찜빵,못잡으면,있는,하
망아지,말소,아니었다,하
마리,시키고,어떤,아
한나라,들어오게,스럽다,하
외국,떠돌게,그래놓고도,아
도망,해야,불쌍하다,네
죄,됨,유력한,어휴
죄값,하는데,없군,우짜노
게,눈감고,있어,아
만약,믿어서,좋겠다,야
여권,바꿀가,아닐까,하이고
비자,까하는데,멍청한,아웅
한국,바꿀수,아니구먼,우와
옷,지,분하게,아
외국,나오네,있다,아이구
불법체류자,딴,이런게,우와
대통령,맞서는,나쁜,휴
막,맞냐,더럽다,휴
최,감싸,더러운,야
실,봐라,아니,하
꼴,낳고,그만하고,아
난건,했나,많던가,아
최필녀,참,불쌍하다,하
최,살아있다고,좋겠다,아
실,나불대냐,확실하다면,휴
최,해줘라,아닌가,아
서원,삼아,아니고,아
이름,하는,든든해야,야
보통사람,만들어,미,하아
평생,낳기,이렇지,아
가도,갈,있네,아오
번,어딨어,딱히,아이구
말,잡아가나,있어도,하
최,됐네,같은데,에구
실,해라,특이한,애고
이름,키우고,똑같은,아
세번,주면서,뻔했구만,아
한숨,보면,안되는게,아오
최,되겟구만,간단한거,우와
실,가서,아닌가,
아버지,보여줄라고,순전히,
최태민,갔지,이렇듯,
사단,해라,그렇지,
원흉,참,더하겠지,
조선,지져,딱히,
민주주의,사냐,아닌가보다,
인민공화국,까,더한,
데,봐라,필요했,
게,졸일,당당하게,
진정,울리는,그랬냐,
빨갱이,해야,그런지,
집단,나와야,부럽,
대한민국,지는거지,있나,
민주공화국,따지고,있었,
새누리당,보면,아니라,
놈,끝나고,고마운줄,
더,벌리면,저렇게나,
애,되지,부족한게,
산후조리,그리,없는데,
애,허,나빠서,
아빠,벌나게,망하고,
또,허,있는데,
늠,버렸데,그러고도,
인지,깔,적당히,
실망,까도,당연한,
주둥이,까도,이상한,
모자이크,나오네,대단하다,
말,탔네,싫다,
말,그려,거지같,
승마,되는,있어야,
협회,하지,가능한,
삼성,않았다,칠하는,
여기,했다,어떻게,
조사해,까야지,더럽게,
정관,들어가면,원망해라,
정치인,나오는데요,원망하겟지만,
아버지,핥기,좋게,
자식,파헤치세요,아니,
듯,해라,아니고,
딸,가,그럼,
보험,한다는데,흥분해서,
마랴,잡으려고,안되다,
승마,지나가는,가능하다니,
협회,붙잡아,있는데,
란데,놓고,소중한,
최,살아도,똑같다,
실,돼고,아파도,
꼬봉,먹어도,안되게,
노릇,보다,안된다,
곳,잘,많으니,
공문,살잖아,좋아서,
의미,해보니,이런,
제적,다니던,기대하리,
처리,다닌,아니면,
중졸,헐,없는,
애,키워라,그런,
바빳을건데,하고,비참한,
학교,맞,끝내주는,
시간,쳤네,아닙니까,
귀신,하는것,있지만,
역시,들,신나고,
학교,들린다,아닌,
필요,들려,부조리한,
부모,빗길,아닌,
능력,맞고,중요한,
도망자,키우면,아니고,
신세,해,안되는것,
말,했는데,같음,
농장,따지면,명확히,
이나,자겠다,안될,
이제,해볼까,있다,
말,썼네,없겠네,
말밥,하긴,있는데,
검정고시,내는,있는,
독일,쓰는건,궁금하네,
거,긴하지,부끄러운,
시기,틀리지말고,그런,
친,잡아죠,있나,
정도,졌음,괜찮은,
심해,꺼내,많아서,
최,들었다,있는게,
실,딸이구먼,있다,
재산형,않음,없으면,
과정,하러,없는,
추적,빠지고,있니,
정윤회,틀리더라,있는,
박정희,하고,같은,
세뇌,싶진,부럽,
망령,않을것,이런,
제발,나올,변하는건,
저승,보내면,없어,
가라,되지,확실한가보다,
그게,거칠게,더하면,
짓,해,더하면,
온통,사는데,불가능하고요,
나라,까발려져서,아님,
말,나오는,위험하고,
인생,된것도,아니고,
중학교,하는,미쳤다고,
국,보면,없습니다,
수도,다니지,입상한,
서민,않아도,있답니까,
것,먹고,원망해,
공평,잘,원망하고,
서민,살았을,있을까,
경쟁,하지,배불러오니까,
이기,되도,이런다고,
선수,않는,아니고,
시합,세우지,잠잠해지면,
이기,쉽,아님,
놈,는,답답한,
중졸,틀리던,있고,
이나라,아는데,있으면,
꼬,해라,야한다,
라지,졸못이던데,편하고,
학교,탄다네요,우아하게,
뭘,얹혀가는,부럽다,
벌,타고있을,그럼,
깔깔,크긴,멋지네,
계속,크지,미쳤어,
꾸중,잖아,없다,
물,되야지,있으면되,
타라,쳐,그러겠,
말,바꾼다고,조용해진다,
안타,나아질까,그랬듯이,
엄한놈,탄,이쁘,
요즘,탔군,훌륭하게,
대세,해서,없는,
승마,낳고,좋다고,
데,한다고,대단해,
모든,들어와,조져,
용서,서는,없네,
승마,받아,아닌,
대한민국,낸,미,
라면,나가고,아님,
고등학교,싶어도,미개하지는,
자퇴,나갔겠지,더구만,
처리,불러서,있더만,
해,따서,아니던가요,
학년,할라고,같은,
때,터져가면,아니네,
상황,하는대,같군,
조사,들어가고,더럽다,
고,놀고,있는,
말,어린게,뻔해야지,
정식,살아야지,역겹다나라,
얼굴,쳤어,무식한,
선수,와,있었군,
협회,떠나서,마라,
얼굴,지,어떤지,
신문사,자길,없다는,
겉,가르치고,궁금하지,
본론,빠지고,부럽다,
꼭,가고,좋은,
승마,살텐데,먼,
협회,뽑아라,적당히,
수사,했고,조용히,
정유,끄,아니고,
애가,잡아,부럽다,
지금,와라,입니다,
살,시키고,싫었는가,
남자,하고,간절함이,
동갑,해야,없으니,
살,되는데,아니라,
그,빼먹어,높은,
집안,부려,필요한거,
지금,지,없네,
한몫,먹게,당당하면,
여대생,생겼냐,불쌍하다,
대령,하는,같은,
중령,해주고싶다,아닌,
소령,쳐,필요한것,
이등병,넣을것,같다,
쭈쭈바,들아,아님,
껍데기,해라,솔직히,
저리,닮았는지,부럽다,
저리,보자,시시해졌어요,
살,나도,아니라,
욕,해서,머냐,
우리,가고,아니고,
우리,가네,있는,
끼리,되기,아닌,
뭐,비었겠네,철저하게,
하나,했다는거야,철저하게,
학교,말안,없군요,
중,였냐는,더럽고,
임신,해야,거지같은,
출산,된다,아무런,
공결,깨닫는다,없,
무효,하는,평범하게,
고교,해주고,있는,
졸업,싶지만,스럽네요,
무효,먹,있었을듯,
입학,갑다,망할,
무효,쳐,있어요,
처리,보네,이쁘고,
고등학교,하지말고,있고,
제대로,살아온,있고,
애가,하는,예쁜거,
대통령,됐음,같고,
설문,떠용,반했습니다,
수정,하자,문란했길래,
겨,세워야지,없는,
이건,생긴데다,없다,
금수,생긴,없네,
도,해줘야,없는건데,
공주,되는데,허무해지지,
마마,나도,좋아하는거,
상왕,해서,아닌가,
실,갈래,그러고도,
뒤,깔고,엄청나고,
쥐,했다면,좋던가,
살,깔았다면,있다며,
맛,개다,끊임없이,
나,봐도,없는,
겨,하냐,같은,
뒤,썼던,그런,
뒤,밝히고,없고,
부모,지울,조용해지면,
원망,족치냐,있고,
쫌,보이는거만,있고,
기상청,쫓으니,어떻게,
날씨,듣지,당하는,
자,찍었네,괴로우나,
알,합니다,즐거우나,
출근,되는데,어수선할수록,
쾅,가서,드러운,
소리,받고,똑같은,
교,하려고,없는,
통,누워있는데,없을,
사고,된것,이런,
소리,들,있냐,
오늘,해라,없으면,
저승,되,원망해,
길,서는,있는,
번호,잘,이럴게,
표,팔렸구만,좋,
만원,나아서,아니지만,
극성,하려는,솔직히,
돈처,가려,있다,
발라사,따주면,재밌다,
뭐,되지,없냐,
졸,들이아,있구나,
폰,쳐,싫은데,
팔이,먹고,아닌데,
결혼,다니냐,떳떳하신,
일부,지가,멋지네,
연예인,하던지,있는자,
범법,휘두른,쿨하지,
아이유,찔리거나,있다는데,
수지,치이던지,아니라도,
조사,깔리는,많다,
간만,하게,솔직히,
걸레,될,그렇고,
기사,참,있는,
다운,잡아다가,똑같다,
기사,박고싶다,미의,
정부,하겠다는거,편하게,
대통령,차리세요,있나,
흠집,놀아나는구나,그렇,
기사,나오겠지,있노,
걸레,하고,안되는,
경향,들,안되나,
최고,태어났다면,부끄럽고,
실,즐기고,짜증나는,
사건,살았을,맑아야,
하나,들,맑다,
애비,싸지르네,그렇,
징역,짚고,아니다,
애,고쳐야겠다고,아니고,
사형,하는,험난하겠다,
딸년,빼구,있을,
이슬람,맞추는,없다,
성노예,안다,무섭냐,
개,자든,아깝,
드,하든,칠한,
그네,한다,이런,
개헌,밝히길,좋겠다,
황제,빼고,그럴,
세상,빼고,없겠지,
연예인,나왔다는,아니냐,
촬영,해보면,없이는,
간다,벌러,같은,
학교,갑니다,어지간히,
달,하는,아니면,
어쩐지,하지,나쁜,
맞춤법,않습니다,씁쓸하네,
애도,웃기시네,당했을건데,
내,해,없는,
권력,싶다,없는게,
굳이,뿌린대로,설치다가,
정말,거둬,아닌가,
애,들인다고,아니라는,
애나,저러고,문란하다는,
부모,태어나겠지,인한,
것,지가,그런,
제,보면,없어도,
의,개도지가,아니군,
최,줄안다고하더니,고마워,
실,될지,아님,
이해,열겠습니다,쎄여,
그냥,알아라,아니고,
딸내미,않음,그랬다,
학교,들이시네,대단한,
왜,알려지지,그럴,
교장,않았나,쓰리,
항의,할,부끄럽다,
바보,찾아보면,나쁜,
뇬,나올텐데,한심한,
거,되야,많은,
공부,가진,있노,
못,하지,더럽운,
일자,는,높은,
무식,않을려나,불쌍하다,
백,할수,아니라,
대감,할,아까,
승마,빨수,더러운것,
입상,시키고,더러운,
빽,시켜,민망해,
애도,꾸지마,같은데,
제멋대로,잘,아닌데,
뭐,만나서,그러진,
그,사는거,같,
대가,보면,어떻게,
린,낳은,이런,
드라마,지웠나,아니겠지,
영화,가,어이없네,
안하무인,튼,같은,
재벌,짓도하고,부끄럽냐,
얘기,하는,아니,
과장,살고싶다,어때서,
쓰레기,해야지,아니고,
존재,숨어있나,아니지만,
걸,짖어도,같은,
어차피,닮았을테니,아닌것,
학교,짖어,시끄럽고,
따위,봐야,철저히,
얼마,하겠노,부럽다,
황금,마시며,부러워,
수저,건드릴까,아니냐,
간판,하고,좋아했나,
나부,간거네,어떻게,
차라리,하고,그러냐,
기부,간거네,소용없는,
입학,하는,힘없는,
뭐,꿔,더하네,
스포츠인,먹은,없네,
행세,비었소,기묘한,
차라리,하고,있었군,
학교,다니더니,아니다,
하나,숨었냐,문란하건,
최,여잔,입니다,
실,낳고,중요한,
대통령,참,아닌지가,
딸,키웠다,안되는구나,
인생,하는데,편하게,
여,하구요,좋음,
친구,살아있는,같은,
맞춤법,맞추는,아니었음,
이유,바꿔,있으면,
얼굴,하던가,좋아하는,
오픈,나눠,어렵겠지만,
말타,타던가,있습니다,
사실,지치면,어려운,
아무나,나오니까,당하면서,
상,조심하고,있습니다,
유명,아껴줘야하는데,당하고,
심판,돌릴까,있습니다,
진왈,비인기,입니다,
말위,나오면,당합니다,
수준,치겠다,입니다,
어딘가,깔렸는데,많은,
말,났으면,있네요,
니,가지,있습니다,
말,되는,이런,
좀,되는,있습니다,
애초,흘러,당하고,
승마,해서,있습니다,
운동,나온,입니다,
말,되는거,고통스러운,
저런,참,있습니다,
건,참,입니다,
지금,않,입니다,
중졸,된다,없는,
처리,시킨,있네요,
나라,갈수있는게,있습니다,
개판,해봐,솔직하게,
말,태어나고,많아서,
성적,싶다,비겁하게,
위,놀아나고,정당하게,
니,였나,그러니,
잘못,만들면,빡치는,
말,히트치겠네,솔직하지,
안타,비었을텐데,비열하기,
남자,떠들어대,그러니,
고딩,난다,그럼,
짓,딸답게,없어,
애,해줄,의심스럽다,
승마,지나면,더한데도,
연습,지,아니냐,
뻥,들,당연히,
출석,키웠구만,진지하게,
대학교,가려,안되냐,
학점,잘러,많노,
케이스,생겼던데,아니었군요,
눈,쳐지고,착하지도,
왜,떨매,가난하지도,
모자이크,뽑았니,아름다운,
처리,뽑았니,없고,
안나,버림,많았군요,
배,받은,입니다,
체,키워,많은,
나,가리,뻔하겠죠,
자격증,잘라서,입니다,
취업,시켜놨다가,아니라,
개,버려야지,이러한,
월동,거칠것이,있을,
안,바뀌고,나쁜,
눈,드려,힘들지,
핏줄,보면,없나보다,
공부,였던것이다,그런거,
쟤,했어요,같다,
이대,않았다,필요한,
탱자,여기는,불필요한,
탱자,뒤집시다,있겠지만,
임신,막고,나쁘다,
도하,덮고,이런,
부모,나오면,있는,
알,나와서,곤란한데,
땜,시키려고,쎄게,
부모,하셨던,재수없어,
인생,나네요,같은,
종,까,입니다,
것,하는,잘나셨는지,
특혜,안하는데,거대한,
부모,참,검은,
덕,보면,있어도,
금수,어린,좋게,
저,잡아먹으려,빡치네,
부모,덤비는,깨끗한,
위해,먹어라,자리는,
임심,했었나,아니지만,
낙태,하면,이런,
학교,자르기로,자리는,
머리,끝날줄,아니다,
비리,알았어요,어떤,
학교,밝혀내야죠,아쉽다,
부모,뒤집시다,없어,
속,나올,멍청한,
썩,어려,쉬운,
거기,납셨구나,없고,
땜,대,있다는,
부모,이기는,없다,
지금,일까,완전히,
인생,하는,어떻게,
나라,해봐라,그런,
진자,해봐하,아니잖아,
배,닮았네,같지,
