Noun,Verb,Adjective,Exclamation
편법,시키고,있지만,우와
무자격,적은,없다,여보세요
입학,봐,그렇다면,하
엉망,준다는,좋은,어휴
진창,보니,없고,아
학사,묻어있네,없다,아
관리,힘내세요,짜증난다,야
학점,걸어,확실히,야
준,보던가,아니다,야
특혜,주는,징그러운,아
누구,오세요,아닙니다,아이고
정도,가릴수,똑같구먼,야
편의,이길수,뻔하기,야
건가,하지마라,아니,아
총장,만나서,이런,아이고
얼굴,떨어지네,없으시다는,으이구
해먹,하지,아닌가요,어휴
생겻,않는,없네요,하아
욕심,내려와라,심한,아
덕지덕지,먹,구린내가,아
쯧쯧,하시네요,아니면,아
생,하겠네요,소용없을거고,아
정말,한,이런,아웅
본인,하는,가능하다는것,으으
목숨,봤다,가능하다는게,하
가족,모르다,없다,아
목숨,갈,있을,아이구
출석,가는,궁금할,아아
안해,떨어지는구나,없다,아아
학점,마셨는데,미치지,아
인심,까,확실히,하아
이대,봐,없었다는게,하
우두머리,가리시오,많은,아
어둠,다니는,아니라고,아
빛,감은,다른거,어휴
불의,하실려고,있나,아
정의,되면,아니란다,하
거짓말,물러나실,아니다,아
장하나,뒤져,아니다,어휴
잘못,해야,아니다,아
이대,할,아니다,어휴
갈수록,가져,아니다,아
최소한,본,미천한것,아
상식,합니다,다른건,아
통,참,이런,휴
세상,망가지네,있었다며,아
그네,썩는,없었다고요,아
이참,하네,있나,하
진짜,꾸는,의심스러운,하
이대,따려고,미쳤나,아
자긍심,하는,이상해진다,아
칠,만드는,구린내,아
누굴,된,당당함하고는,아
바보,해도,머니,아
로,썩어가는구나,아니지만,엥
나,보려고,좋은,아
사퇴,쌓기에,멀쩡한,아
이,쏟은,있는지,아
정권,쓴,무서울,푸핫
인간,썼더라,작은,엉
인정,읽어,아니래,엉
것,봐도,똑같네,엉
전부,지나가는,순순히,하
부패,웃겠네,추해서,아
집단,할말,그럼,어휴
이화여대,않고선,어떻게나,아이구
때,해,같아야지,야
구면,됩니까,그래,어휴
대한민국,서는,아닌,아
성교육,해봐야,있을까요,으이구
역사,하는것과,있기는,아
깃,봐도,그렇고,어휴
곳,따기도,그렇고,아
미꾸라지,시켰지만,있는데도,쯧쯧
때문,마셨지만,아니란다,쯧
격,올렸지만,아니에요,아
납득,죽였지만,뻔한,아이고
안,맞춘,다름없는,아
납득,쓰고,있다고하면,네
술,하는,없다,아
음주운전,밝히는,확실히,아
뻔,딴것도,없는듯,아웅
박근혜,되냐,없다,아
급,들,없었다면,아웅
누가,몰라도,부끄럽지도,아
친구,했으면,그럼,으이구
랄,는,어떻게,휴
손바닥,될건데,같은데,야
하늘,서,안되거든요,아
이대,붙한,부끄럽다,아
학생,봤어도,있다,아
상대,줄임말,없습니다,아웅
박탈,쓰는,아닌,하
어찌,봤네,아닐까,아
발언,봐도,없었다면,하
이쯤,떨어진다,억세게,쯧쯧
스스로,받겠네,좋은,쯧
생각,가려지냐,틀림없다,오호
추호,지나가는,어떻게,아웅
교칙,웃겠다,억세게,어휴
탄핵,붓네,좋은,아
생각,해준다,그래,아
때,된,아니지,아웅
온,지키려고,어떤,하
거,이었다,아니면,아
학번,나온건,더러운,아오
제,했다,없냐,아
역설,보며,조져야겠네,아
졸업,만드는게,우수한,차렷
후,가고,당할까봐,아
